Unnamed: 0,title,collection,room,startYear,endYear,creatorName,url,image
464494,Sept villes se disputent la naissance d'Homère. Apollon admet au nombre des Muses l'Iliade et l'Odyssée,Département des Peintures,"Salle 649, Aile Sully, Niveau 1",1825.0,1850.0,"Moench, Charles",https://collections.louvre.fr/ark:/53355/cl010061350,https://collections.louvre.fr/media/cache/large/0000000021/0000061350/0000859170_OG.JPG
464496,"La Ferme, exposé au Salon de 1751 comme : l'Agriculture, dit aussi :""La France""",Département des Peintures,"Salle 927, Aile Sully, Niveau 2",1750.0,,"Oudry, Jean-Baptiste",https://collections.louvre.fr/ark:/53355/cl010061353,https://collections.louvre.fr/media/cache/large/0000000021/0000061353/0000312639_OG.JPG
464501,L'Ange annonçant à Abraham la naissance d'un fils,Département des Peintures,"Salle 817, Aile Richelieu, Niveau 2",1500.0,1600.0,"Provost, Jan",https://collections.louvre.fr/ark:/53355/cl010061255,https://collections.louvre.fr/media/cache/large/0000000021/0000061255/0000739274_OG.JPG
464502,La Vierge et l'Enfant,Département des Peintures,"Salle 709, Aile Denon, Niveau 1",1315.0,1320.0,"Ugolino da Siena (Ugolino di Nerio, dit)",https://collections.louvre.fr/ark:/53355/cl010061279,https://collections.louvre.fr/media/cache/large/0000000021/0000061279/0000385614_OG.JPG
464504,Halte de chasseurs et de cavaliers,Département des Peintures,"Salle 846, Aile Richelieu, Niveau 2",1645.0,,"Wouwerman, Philips",https://collections.louvre.fr/ark:/53355/cl010061281,https://collections.louvre.fr/media/cache/large/0000000021/0000061281/0000599083_OG.JPG
464505,L'Adoration des mages,Département des Peintures,"Salle 854, Aile Richelieu, Niveau 2",1640.0,1660.0,"Wolfvoet, Victor",https://collections.louvre.fr/ark:/53355/cl010061282,https://collections.louvre.fr/media/cache/large/0000000021/0000061282/0000134763_OG.JPG
464506,"La Vierge et l'Enfant Jésus entourés des saints Jean Baptiste, François d'Assise et  Catherine d'Alexandrie",Département des Peintures,"Salle 712, Aile Denon, Niveau 1",1573.0,1576.0,"Witte, Pieter de",https://collections.louvre.fr/ark:/53355/cl010061283,https://collections.louvre.fr/media/cache/large/0000000021/0000061283/0001246462_OG.JPG
464507,Nature morte à la chandelle avec apprêts d'une collation,Département des Peintures,"Salle 802, Aile Richelieu, Niveau 2",1630.0,1640.0,"Wedig, Gottfried von",https://collections.louvre.fr/ark:/53355/cl010061285,https://collections.louvre.fr/media/cache/large/0000000021/0000061285/0000738443_OG.JPG
464514,Jeune homme en armure,Département des Peintures,"Salle 828, Aile Richelieu, Niveau 2",1625.0,1627.0,"Vouet, Simon",https://collections.louvre.fr/ark:/53355/cl010061299,https://collections.louvre.fr/media/cache/large/0000000021/0000061299/0000134692_OG.JPG
464516,"La Madeleine, ou Une Pénitente dans le désert",Département des Peintures,"Salle 924, Aile Sully, Niveau 2",1743.0,1744.0,"Nattier, Jean-Marc",https://collections.louvre.fr/ark:/53355/cl010061360,https://collections.louvre.fr/media/cache/large/0000000021/0000061360/0000144728_OG.JPG
464518,Le Triomphe de Bacchus,Département des Peintures,"Salle 927, Aile Sully, Niveau 2",1747.0,,"Natoire, Charles-Joseph",https://collections.louvre.fr/ark:/53355/cl010061362,https://collections.louvre.fr/media/cache/large/0000000021/0000061362/0000135625_OG.JPG
464519,"Henri II (1519-1559), roi de France.",Département des Peintures,"Salle 822, Aile Richelieu, Niveau 2",1559.0,,"Clouet, François",https://collections.louvre.fr/ark:/53355/cl010061363,https://collections.louvre.fr/media/cache/large/0000000021/0000061363/0000720604_OG.JPG
464521,Pavane à la cour d'Henri III,Département des Peintures,"Salle 823, Aile Richelieu, Niveau 2",1575.0,1600.0,Anonyme,https://collections.louvre.fr/ark:/53355/cl010061365,https://collections.louvre.fr/media/cache/large/0000000021/0000061365/0000141033_OG.JPG
464523,Le Triomphe de Mardochée,Département des Peintures,"Salle 660, Aile Sully, Niveau 1",1738.0,1739.0,"Troy, Jean-François de",https://collections.louvre.fr/ark:/53355/cl010061258,https://collections.louvre.fr/media/cache/large/0000000021/0000061258/0001185043_OG.JPG
464526,Le Dédain de Mardochée envers Aman,Département des Peintures,"Salle 660, Aile Sully, Niveau 1",1740.0,,"Troy, Jean-François de",https://collections.louvre.fr/ark:/53355/cl010061261,https://collections.louvre.fr/media/cache/original/0000000021/0000061261/0000054546_OG.JPG
464529,La Vierge du Carmel apparaît à saint Simon Stock (1175-1265),Département des Peintures,"Salle 725, Aile Denon, Niveau 1",1746.0,,"Tiepolo, Giambattista",https://collections.louvre.fr/ark:/53355/cl010061265,https://collections.louvre.fr/media/cache/large/0000000021/0000061265/0000135401_OG.JPG
464533,La Crucifixion,Département des Peintures,"Salle 711, Aile Denon, Niveau 1",1500.0,1600.0,"Paolo Caliari, dit Veronese",https://collections.louvre.fr/ark:/53355/cl010061292,https://collections.louvre.fr/media/cache/large/0000000021/0000061292/0000334060_OG.JPG
464535,"Mars, Vénus et l'amour",Département des Peintures,"Salle 711, Aile Denon, Niveau 1",1500.0,1600.0,"Sustris, Lambert",https://collections.louvre.fr/ark:/53355/cl010061294,https://collections.louvre.fr/media/cache/large/0000000021/0000061294/0000135224_OG.JPG
464536,La Mort d'Adonis,Département des Peintures,"Salle 711, Aile Denon, Niveau 1",1560.0,1600.0,Anonyme,https://collections.louvre.fr/ark:/53355/cl010061295,https://collections.louvre.fr/media/cache/large/0000000021/0000061295/0000738619_OG.JPG
464537,La Courtisane amoureuse,Département des Peintures,"Salle 921, Aile Sully, Niveau 2",1735.0,,"Subleyras, Pierre",https://collections.louvre.fr/ark:/53355/cl010061296,https://collections.louvre.fr/media/cache/large/0000000021/0000061296/0001168266_OG.JPG
464538,Allégorie de la Justice et de la Prudence,Département des Peintures,"Salle 806, Aile Richelieu, Niveau 2",1575.0,1625.0,"Spranger, Bartholomeus",https://collections.louvre.fr/ark:/53355/cl010061297,https://collections.louvre.fr/media/cache/large/0000000021/0000061297/0000144101_OG.JPG
464540,Vierge à l'Enfant,Département des Peintures,"Salle 710, Aile Denon, Niveau 1",1507.0,1508.0,Romanino,https://collections.louvre.fr/ark:/53355/cl010061300,https://collections.louvre.fr/media/cache/large/0000000021/0000061300/0000614204_OG.JPG
464550,Esther et Assuérus,Département des Peintures,"Salle 711, Aile Denon, Niveau 1",1500.0,1600.0,"Paolo Caliari, dit Veronese",https://collections.louvre.fr/ark:/53355/cl010061270,https://collections.louvre.fr/media/cache/large/0000000021/0000061270/0000909347_OG.JPG
464551,Suzanne et les vieillards,Département des Peintures,"Salle 711, Aile Denon, Niveau 1",1500.0,1600.0,"Paolo Caliari, dit Veronese",https://collections.louvre.fr/ark:/53355/cl010061271,https://collections.louvre.fr/media/cache/large/0000000021/0000061271/0000900309_OG.JPG
464556,La Tour de Babel,Département des Peintures,"Salle 808, Aile Richelieu, Niveau 2",1594.0,,"Valckenborgh, Lucas van",https://collections.louvre.fr/ark:/53355/cl010061276,https://collections.louvre.fr/media/cache/large/0000000021/0000061276/0000738408_OG.JPG
464560,La Tentation du Christ,Département des Peintures,"Salle 943, Aile Sully, Niveau 2",1849.0,1858.0,"Scheffer, Ary",https://collections.louvre.fr/ark:/53355/cl010061312,https://collections.louvre.fr/media/cache/large/0000000021/0000061312/0000846189_OG.JPG
464563,Le Bienheureux Ranieri Rasini montre aux frères réunis en prière l'âme de l'avare de Citerna emportée par les démons,Département des Peintures,"Salle 709, Aile Denon, Niveau 1",1425.0,1450.0,"Sassetta (Stefano di Giovanni, dit)",https://collections.louvre.fr/ark:/53355/cl010061315,https://collections.louvre.fr/media/cache/large/0000000021/0000061315/0000367539_OG.JPG
464564,Vue du chœur de l’église Saint-Bavon à Haarlem avec la tombe fictive d’un évêque,Département des Peintures,"Salle 839, Aile Richelieu, Niveau 2",1630.0,,"Saenredam, Pieter Jansz",https://collections.louvre.fr/ark:/53355/cl010061316,https://collections.louvre.fr/media/cache/large/0000000021/0000061316/0000601734_OG.JPG
464569,"Nature morte (lièvre, canard, bouteilles, pain et fromage)",Département des Peintures,"Salle 921, Aile Sully, Niveau 2",1742.0,,"Oudry, Jean-Baptiste",https://collections.louvre.fr/ark:/53355/cl010061236,https://collections.louvre.fr/media/cache/large/0000000021/0000061236/0000355177_OG.JPG
464572,La Vierge et l'Enfant entourés d'anges et de saintes et surmontés par Dieu le Père bénissant,Département des Peintures,"Salle 709, Aile Denon, Niveau 1",1400.0,1450.0,,https://collections.louvre.fr/ark:/53355/cl010061056,https://collections.louvre.fr/media/cache/large/0000000021/0000061056/0000134227_OG.JPG
464577,Entrée du muséum et ruines de Saint-Louis du Louvre,Département des Peintures,"Salle 134, Aile Sully, Niveau -1",1800.0,1900.0,"Bouhot, Étienne",https://collections.louvre.fr/ark:/53355/cl010061239,https://collections.louvre.fr/media/cache/large/0000000021/0000061239/0000135661_OG.JPG
464578,Saint Benoît et saint Augustin,Département des Peintures,"Salle 710, Aile Denon, Niveau 1",1400.0,1500.0,"Braccesco, Carlo di Giovanni, dit Carlo da Milano",https://collections.louvre.fr/ark:/53355/cl010061240,https://collections.louvre.fr/media/cache/large/0000000021/0000061240/0000401097_OG.JPG
464580,Le Jugement de Pâris (grisaille),Département des Peintures,"Salle 808, Aile Richelieu, Niveau 2",1550.0,1600.0,Pays-Bas,https://collections.louvre.fr/ark:/53355/cl010061243,https://collections.louvre.fr/media/cache/large/0000000021/0000061243/0000134527_OG.JPG
464581,"Portrait d’Hélène Fourment (1614-1673) au carrosse, suivie de son jeune fils Frans en page",Département des Peintures,"Salle 855, Aile Richelieu, Niveau 2",1639.0,,"Rubens, Petrus Paulus",https://collections.louvre.fr/ark:/53355/cl010061244,https://collections.louvre.fr/media/cache/large/0000000021/0000061244/0000397489_OG.JPG
464603,Persée et Andromède,Département des Peintures,"Salle 916, Aile Sully, Niveau 2",1678.0,1679.0,"Mignard, Pierre",https://collections.louvre.fr/ark:/53355/cl010061225,https://collections.louvre.fr/media/cache/large/0000000021/0000061225/0000135349_OG.JPG
464604,"Visconti présente à Napoléon III les plans du 'nouveau Louvre', 1853",Département des Peintures,"Salle 136, Aile Sully, Niveau -1",1800.0,1900.0,"Tissier, Ange",https://collections.louvre.fr/ark:/53355/cl010061226,https://collections.louvre.fr/media/cache/large/0000000021/0000061226/0000405657_OG.JPG
464605,Vue de la Colonnade du Louvre.,Département des Peintures,"Salle 134, Aile Sully, Niveau -1",1772.0,,"Demachy, Pierre-Antoine",https://collections.louvre.fr/ark:/53355/cl010061229,https://collections.louvre.fr/media/cache/large/0000000021/0000061229/0000135542_OG.JPG
464608,Paysage avec fontaine et diverses figures. Vue d'Italie,Département des Peintures,"Salle 859, Aile Richelieu, Niveau 2",1730.0,1740.0,"Bloemen, Jan Frans van",https://collections.louvre.fr/ark:/53355/cl010061135,https://collections.louvre.fr/media/cache/large/0000000021/0000061135/0000141677_OG.JPG
464611,La convalescence de Bayard,Département des Peintures,"Salle 937, Aile Sully, Niveau 2",1800.0,1900.0,"Révoil, Pierre",https://collections.louvre.fr/ark:/53355/cl010061066,https://collections.louvre.fr/media/cache/large/0000000021/0000061066/0000135421_OG.JPG
464614,Le Christ remettant les clés à saint Pierre,Département des Peintures,"Salle 716, Aile Denon, Niveau 1",1620.0,1625.0,"Reni, Guido",https://collections.louvre.fr/ark:/53355/cl010061069,https://collections.louvre.fr/media/cache/large/0000000021/0000061069/0000167943_OG.JPG
